A,B,Support,Confidence,Lift,Group,supporto_test,confidenza_test,lift_test
"('qk3_score', 'qk7_3_score')","('qf10_2_score',)",0.13056379821958458,0.6111111111111112,1.4605988967691097,Diploma_Millennials,0.117003367003367,0.5205992509363295,1.3047930593087753
"('qk3_score', 'qk7_1_score', 'qk7_3_score')","('qf10_2_score',)",0.12462908011869436,0.6363636363636364,1.5209542230818827,Diploma_Millennials,0.11321548821548821,0.5369261477045908,1.3457136360191009
"('qk3_score', 'qk7_2_score', 'qk7_3_score')","('qf10_2_score',)",0.12166172106824925,0.6119402985074627,1.4625807134540065,Diploma_Millennials,0.1111111111111111,0.532258064516129,1.3340138832176398
"('qk3_score', 'qk6_score')","('qf10_2_score',)",0.1450381679389313,0.6440677966101694,1.3719167700151578,Diploma_Gen_X,0.10143097643097643,0.5052410901467506,1.2663004537855267
"('qk4_score', 'qk6_score')","('qf10_2_score',)",0.1946564885496183,0.6375,1.3579268292682927,Diploma_Gen_X,0.12920875420875422,0.4991869918699188,1.2511268910157458
"('qk5_score', 'qk6_score')","('qf10_2_score',)",0.1984732824427481,0.6753246753246753,1.4384964628867067,Diploma_Gen_X,0.12668350168350168,0.5058823529411764,1.2679076693968725
"('qk6_score', 'qk7_1_score')","('qf10_2_score',)",0.22137404580152673,0.651685393258427,1.3881428701927467,Diploma_Gen_X,0.14393939393939395,0.4985422740524782,1.249511015979629
"('qk6_score', 'qk7_3_score')","('qf10_2_score',)",0.15267175572519084,0.6451612903225806,1.3742460005245214,Diploma_Gen_X,0.09806397306397306,0.5247747747747747,1.3152582962709543
"('qk3_score', 'qk4_score', 'qk6_score')","('qf10_2_score',)",0.12595419847328243,0.6734693877551019,1.4345445495271278,Diploma_Gen_X,0.08754208754208755,0.5239294710327456,1.3131396868921976
"('qk3_score', 'qk4_score', 'qk7_3_score')","('qf10_2_score',)",0.14885496183206107,0.639344262295082,1.3618552578968413,Diploma_Gen_X,0.09932659932659933,0.5566037735849058,1.3950322426558395
"('qk3_score', 'qk5_score', 'qk6_score')","('qf10_2_score',)",0.13740458015267176,0.7058823529411765,1.5035868005738882,Diploma_Gen_X,0.08922558922558922,0.531328320802005,1.331683639478443
"('qk3_score', 'qk6_score', 'qk7_1_score')","('qf10_2_score',)",0.13358778625954199,0.6363636363636364,1.3555062823355508,Diploma_Gen_X,0.09595959595959595,0.5302325581395348,1.328937297615543
"('qk4_score', 'qk5_score', 'qk6_score')","('qf10_2_score',)",0.17938931297709923,0.6811594202898551,1.450924944032049,Diploma_Gen_X,0.1127946127946128,0.5296442687747035,1.3274628508530544
"('qk4_score', 'qk6_score', 'qk7_1_score')","('qf10_2_score',)",0.18702290076335878,0.6712328767123288,1.4297805991758545,Diploma_Gen_X,0.12205387205387205,0.5272727272727272,1.321518987341772
"('qk4_score', 'qk6_score', 'qk7_2_score')","('qf10_2_score',)",0.17557251908396945,0.6388888888888888,1.3608852755194216,Diploma_Gen_X,0.11405723905723905,0.5084427767354597,1.2743249340964686
"('qk4_score', 'qk6_score', 'qk7_3_score')","('qf10_2_score',)",0.13740458015267176,0.6666666666666666,1.4200542005420054,Diploma_Gen_X,0.08712121212121213,0.552,1.383493670886076
"('qk5_score', 'qk6_score', 'qk7_1_score')","('qf10_2_score',)",0.19083969465648856,0.7042253521126761,1.5000572540936679,Diploma_Gen_X,0.11868686868686869,0.5320754716981132,1.3335562455218533
"('qk5_score', 'qk6_score', 'qk7_2_score')","('qf10_2_score',)",0.17557251908396945,0.676470588235294,1.440937350549976,Diploma_Gen_X,0.11405723905723905,0.5191570881226053,1.3011785246617196
"('qk5_score', 'qk6_score', 'qk7_3_score')","('qf10_2_score',)",0.1297709923664122,0.6538461538461539,1.3927454659161975,Diploma_Gen_X,0.08543771043771044,0.5576923076923077,1.3977604673807205
"('qk6_score', 'qk7_1_score', 'qk7_2_score')","('qf10_2_score',)",0.20229007633587787,0.6625,1.4111788617886178,Diploma_Gen_X,0.1275252525252525,0.5,1.2531645569620253
"('qk6_score', 'qk7_1_score', 'qk7_3_score')","('qf10_2_score',)",0.14885496183206107,0.65,1.3845528455284553,Diploma_Gen_X,0.09511784511784512,0.5432692307692307,1.3616114897760465
"('qk6_score', 'qk7_2_score', 'qk7_3_score')","('qf10_2_score',)",0.1450381679389313,0.6440677966101694,1.3719167700151578,Diploma_Gen_X,0.09048821548821549,0.5256723716381418,1.3175079694221783
"('qk3_score', 'qk4_score', 'qk5_score', 'qk6_score')","('qf10_2_score',)",0.12213740458015267,0.711111111111111,1.5147244805781388,Diploma_Gen_X,0.07996632996632996,0.5428571428571428,1.3605786618444846
"('qk3_score', 'qk4_score', 'qk5_score', 'qk7_3_score')","('qf10_2_score',)",0.1297709923664122,0.6415094339622641,1.366467249578156,Diploma_Gen_X,0.08122895622895623,0.5498575498575499,1.3781239857189223
"('qk3_score', 'qk4_score', 'qk7_1_score', 'qk7_3_score')","('qf10_2_score',)",0.14122137404580154,0.6379310344827587,1.3588449677600225,Diploma_Gen_X,0.09638047138047139,0.5682382133995038,1.424191977887364
"('qk3_score', 'qk4_score', 'qk7_2_score', 'qk7_3_score')","('qf10_2_score',)",0.14122137404580154,0.6491228070175439,1.3826843531593211,Diploma_Gen_X,0.09427609427609428,0.5628140703517589,1.4105972902487118
"('qk3_score', 'qk5_score', 'qk6_score', 'qk7_1_score')","('qf10_2_score',)",0.1297709923664122,0.6938775510204082,1.4780155964824953,Diploma_Gen_X,0.08543771043771044,0.5516304347826088,1.3825674188222346
"('qk4_score', 'qk5_score', 'qk6_score', 'qk7_1_score')","('qf10_2_score',)",0.17557251908396945,0.71875,1.5309959349593496,Diploma_Gen_X,0.10774410774410774,0.5565217391304348,1.3948266373142542
"('qk4_score', 'qk5_score', 'qk6_score', 'qk7_2_score')","('qf10_2_score',)",0.16030534351145037,0.6774193548387096,1.4429583005507474,Diploma_Gen_X,0.1026936026936027,0.5386313465783664,1.3499874256014752
"('qk4_score', 'qk5_score', 'qk6_score', 'qk7_3_score')","('qf10_2_score',)",0.12595419847328243,0.6734693877551019,1.4345445495271278,Diploma_Gen_X,0.07996632996632996,0.5757575757575757,1.4430379746835442
"('qk4_score', 'qk6_score', 'qk7_1_score', 'qk7_2_score')","('qf10_2_score',)",0.16793893129770993,0.676923076923077,1.4419011882426516,Diploma_Gen_X,0.10858585858585859,0.5254582484725051,1.3169713062981774
"('qk4_score', 'qk6_score', 'qk7_1_score', 'qk7_3_score')","('qf10_2_score',)",0.13358778625954199,0.6730769230769231,1.4337085678549093,Diploma_Gen_X,0.0845959595959596,0.5661971830985916,1.4190764842217864
"('qk4_score', 'qk6_score', 'qk7_2_score', 'qk7_3_score')","('qf10_2_score',)",0.1297709923664122,0.6666666666666666,1.4200542005420054,Diploma_Gen_X,0.08122895622895623,0.5498575498575499,1.3781239857189223
"('qk5_score', 'qk6_score', 'qk7_1_score', 'qk7_2_score')","('qf10_2_score',)",0.1717557251908397,0.7142857142857143,1.5214866434378629,Diploma_Gen_X,0.10858585858585859,0.5363825363825364,1.3443511671359771
"('qk5_score', 'qk6_score', 'qk7_1_score', 'qk7_3_score')","('qf10_2_score',)",0.12595419847328243,0.6599999999999999,1.405853658536585,Diploma_Gen_X,0.08291245791245791,0.569364161849711,1.4270139752688957
"('qk5_score', 'qk6_score', 'qk7_2_score', 'qk7_3_score')","('qf10_2_score',)",0.12213740458015267,0.6530612244897959,1.3910735025717604,Diploma_Gen_X,0.08080808080808081,0.5597667638483965,1.402959737240285
"('qk6_score', 'qk7_1_score', 'qk7_2_score', 'qk7_3_score')","('qf10_2_score',)",0.14122137404580154,0.6491228070175439,1.3826843531593211,Diploma_Gen_X,0.08796296296296297,0.5428571428571429,1.3605786618444846
"('qk3_score', 'qk4_score', 'qk5_score', 'qk7_2_score', 'qk7_3_score')","('qf10_2_score',)",0.12213740458015267,0.6399999999999999,1.363252032520325,Diploma_Gen_X,0.07828282828282829,0.5568862275449102,1.3957401652391421
"('qk3_score', 'qk4_score', 'qk7_1_score', 'qk7_2_score', 'qk7_3_score')","('qf10_2_score',)",0.13358778625954199,0.6363636363636364,1.3555062823355508,Diploma_Gen_X,0.09175084175084175,0.5721784776902887,1.4340675769959135
"('qk4_score', 'qk5_score', 'qk6_score', 'qk7_1_score', 'qk7_2_score')","('qf10_2_score',)",0.15648854961832062,0.7192982456140351,1.5321637426900585,Diploma_Gen_X,0.0989057239057239,0.5595238095238095,1.4023508137432188
"('qk4_score', 'qk5_score', 'qk6_score', 'qk7_1_score', 'qk7_3_score')","('qf10_2_score',)",0.12213740458015267,0.6808510638297872,1.4502681197024734,Diploma_Gen_X,0.07786195286195287,0.589171974522293,1.4766588728533419
"('qk4_score', 'qk6_score', 'qk7_1_score', 'qk7_2_score', 'qk7_3_score')","('qf10_2_score',)",0.12595419847328243,0.6734693877551019,1.4345445495271278,Diploma_Gen_X,0.0787037037037037,0.5615615615615617,1.4074580910023948
